No,Company,Employees,OutputVat,InputVat,Netvat,Sector,Industry,Year,,,,,,,,
29,Anthem,530,8486300,8239320,246980,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
30,Citigroup,2190,8238600,6747400,1491200,Financials,Commercial Banks,2017,,,,,,,,
31,Comcast,1590,8040300,7170800,869500,Telecommunications,Telecommunications,2017,,,,,,,,
32,IBM,4144,7991900,6804700,1187200,Technology,Information Technology Services,2017,,,,,,,,
33,State Farm Insurance Cos.,682,7613200,7578170,35030,Financials,Insurance: Property and Casualty (Mutual),2017,,,,,,,,
34,Phillips 66,148,7239600,7084100,155500,Energy,Petroleum Refining,2017,,,,,,,,
35,Johnson & Johnson,1264,7189000,5535000,1654000,Health Care,Pharmaceuticals,2017,,,,,,,,
36,Procter & Gamble,1050,7172600,6121800,1050800,Household Products,Household and Personal Products,2017,,,,,,,,
37,Valero Energy,100,7016600,6787700,228900,Energy,Petroleum Refining,2017,,,,,,,,
38,Target,3230,6949500,6675800,273700,Retailing,General Merchandisers,2017,,,,,,,,
39,Freddie Mac,60,6566500,5785000,781500,Financials,Diversified Financials,2017,,,,,,,,
40,Lowe’s,2400,6501700,6192400,309300,Retailing,Specialty Retailers: Other,2017,,,,,,,,
41,Dell Technologies,1380,6480600,6647800,-167200,Technology,"Computers, Office Equipment",2017,,,,,,,,
42,MetLife,580,6347600,6267600,80000,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
43,Aetna,495,6315500,6088400,227100,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
44,PepsiCo,2640,6279900,5647000,632900,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
45,Archer Daniels Midland,318,6234600,6106700,127900,"Food, Beverages & Tobacco",Food Production,2017,,,,,,,,
46,UPS,3355,6090600,5747500,343100,Transportation,"Mail, Package, and Freight Delivery",2017,,,,,,,,
47,Intel,1060,5938700,4907100,1031600,Technology,Semiconductors and Other Electronic Components,2017,,,,,,,,
48,Prudential Financial,497,5877900,5441100,436800,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
49,Albertsons Cos.,2740,5873400,5923620,-50220,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
50,United Technologies,2016,5724400,5218900,505500,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
51,Marathon Petroleum,445,5585800,5468400,117400,Energy,Petroleum Refining,2017,,,,,,,,
52,Disney,1950,5563200,4624100,939100,Media,Entertainment,2017,,,,,,,,
53,Humana,516,5437900,5376500,61400,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
54,Pfizer,965,5282400,4560900,721500,Health Care,Pharmaceuticals,2017,,,,,,,,
55,AIG,564,5236700,5321600,-84900,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
56,Lockheed Martin,970,5065800,4535600,530200,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
57,Sysco,519,5036700,4941740,94960,Wholesalers,Wholesalers: Food and Grocery,2017,,,,,,,,
58,FedEx,3358,5036500,4854500,182000,Transportation,"Mail, Package, and Freight Delivery",2017,,,,,,,,
59,Hewlett Packard Enterprise,1950,5012300,4696200,316100,Technology,Information Technology Services,2017,,,,,,,,
60,Cisco Systems,737,4924700,3850800,1073900,Technology,Network and Other Communications Equipment,2017,,,,,,,,
61,HP,490,4823800,4574200,249600,Technology,"Computers, Office Equipment",2017,,,,,,,,
62,Dow Chemical,560,4815800,4384000,431800,Chemicals,Chemicals,2017,,,,,,,,
63,HCA Holdings,2105,4474700,4185700,289000,Health Care,Health Care: Medical Facilities,2017,,,,,,,,
64,Coca-Cola,1003,4186300,3533600,652700,"Food, Beverages & Tobacco",Beverages,2017,,,,,,,,
65,New York Life Insurance,113,4078700,3969890,108810,Financials,"Insurance: Life, Health (Mutual)",2017,,,,,,,,
66,Centene,305,4072100,4015900,56200,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
67,American Airlines Group,1223,4018000,3750400,267600,Transportation,Airlines,2017,,,,,,,,
68,Nationwide,343,4007400,3973970,33430,Financials,Insurance: Property and Casualty (Mutual),2017,,,,,,,,
69,Merck,680,3980700,3588700,392000,Health Care,Pharmaceuticals,2017,,,,,,,,
70,Cigna,410,3966800,3780100,186700,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
71,Delta Air Lines,838,3963900,3526600,437300,Transportation,Airlines,2017,,,,,,,,
72,Best Buy,1250,3940300,3817500,122800,Retailing,Specialty Retailers: Other,2017,,,,,,,,
73,Honeywell International,1310,3930200,3449300,480900,Industrials,"Electronics, Electrical Equipment",2017,,,,,,,,
74,Caterpillar,954,3853700,3860400,-6700,Industrials,Construction and Farm Machinery,2017,,,,,,,,
75,Liberty Mutual Insurance Group,500,3830800,3730200,100600,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
76,Morgan Stanley,553,3794900,3197000,597900,Financials,Commercial Banks,2017,,,,,,,,
77,Massachusetts Mutual Life Insurance,117,3778800,3651450,127350,Financials,"Insurance: Life, Health (Mutual)",2017,,,,,,,,
78,Goldman Sachs Group,344,3771200,3031400,739800,Financials,Commercial Banks,2017,,,,,,,,
79,Energy Transfer Equity,310,3750400,3650900,99500,Energy,Pipelines,2017,,,,,,,,
80,TIAA,130,3710500,3561270,149230,Financials,"Insurance: Life, Health (Mutual)",2017,,,,,,,,
81,Oracle,1360,3704700,2814600,890100,Technology,Computer Software,2017,,,,,,,,
82,Tyson Foods,1140,3688100,3511300,176800,"Food, Beverages & Tobacco",Food Production,2017,,,,,,,,
83,United Continental Holdings,880,3655600,3429300,226300,Transportation,Airlines,2017,,,,,,,,
84,Allstate,433,3653400,3465700,187700,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
85,Publix Super Markets,1910,3427400,3224830,202570,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
86,American Express,564,3382300,2841500,540800,Financials,Diversified Financials,2017,,,,,,,,
87,TJX,2350,3318400,3088580,229820,Retailing,Specialty Retailers: Apparel,2017,,,,,,,,
88,Nike,707,3237600,2861600,376000,Apparel,Apparel,2017,,,,,,,,
89,Exelon,344,3136000,3022600,113400,Energy,Utilities: Gas and Electric,2017,,,,,,,,
90,General Dynamics,988,3135300,2839800,295500,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
91,Rite Aid,706,3073700,3057150,16550,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
92,Gilead Sciences,90,3039000,1688900,1350100,Health Care,Pharmaceuticals,2017,,,,,,,,
93,CHS,122,3034700,2992280,42420,"Food, Beverages & Tobacco",Food Production,2017,,,,,,,,
94,3M,916,3010900,2505900,505000,Industrials,Miscellaneous,2017,,,,,,,,
95,Time Warner,250,2931800,2539200,392600,Media,Entertainment,2017,,,,,,,,
96,Charter Communications,915,2900300,2548100,352200,Telecommunications,Telecommunications,2017,,,,,,,,
97,Northwestern Mutual,56,2879900,2798100,81800,Financials,"Insurance: Life, Health (Mutual)",2017,,,,,,,,
98,Facebook,170,2763800,1742100,1021700,Technology,Internet Services and Retailing,2017,,,,,,,,
99,Travelers Cos.,309,2762500,2461100,301400,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
100,Capital One Financial,473,2751900,2376800,375100,Financials,Commercial Banks,2017,,,,,,,,
101,Twenty-First Century Fox,215,2732600,2457100,275500,Media,Entertainment,2017,,,,,,,,
102,USAA,299,2713100,2535190,177910,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
103,World Fuel Services,50,2701600,2688950,12650,Energy,Energy,2017,,,,,,,,
104,Philip Morris International,795,2668500,1971800,696700,"Food, Beverages & Tobacco",Tobacco,2017,,,,,,,,
105,Deere,568,2664400,2512010,152390,Industrials,Construction and Farm Machinery,2017,,,,,,,,
106,Kraft Heinz,410,2648700,2285500,363200,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
107,Tech Data,95,2623500,2603990,19510,Wholesalers,Wholesalers: Electronics and Office Equipment,2017,,,,,,,,
108,Avnet,177,2621900,2571250,50650,Wholesalers,Wholesalers: Electronics and Office Equipment,2017,,,,,,,,
109,Mondelez International,900,2592300,2426400,165900,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
110,Macy’s,1483,2577800,2515900,61900,Retailing,General Merchandisers,2017,,,,,,,,
111,AbbVie,300,2563800,1968500,595300,Health Care,Pharmaceuticals,2017,,,,,,,,
112,McDonald’s,3750,2462200,1993550,468650,"Hotels, Restaurants & Leisure",Food Services,2017,,,,,,,,
113,DuPont,460,2459400,2208100,251300,Chemicals,Chemicals,2017,,,,,,,,
114,Northrop Grumman,670,2450800,2230800,220000,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
115,ConocoPhillips,133,2436000,2797500,-361500,Energy,"Mining, Crude-Oil Production",2017,,,,,,,,
116,Raytheon,630,2406900,2185800,221100,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
117,Tesoro,63,2400500,2327100,73400,Energy,Petroleum Refining,2017,,,,,,,,
118,Arrow Electronics,187,2382500,2330220,52280,Wholesalers,Wholesalers: Electronics and Office Equipment,2017,,,,,,,,
119,Qualcomm,305,2355400,1784900,570500,Technology,Semiconductors and Other Electronic Components,2017,,,,,,,,
120,Progressive,317,2344100,2241000,103100,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
121,Duke Energy,288,2336900,2121700,215200,Energy,Utilities: Gas and Electric,2017,,,,,,,,
122,Enterprise Products Partners,68,2302200,2050890,251310,Energy,Pipelines,2017,,,,,,,,
123,Amgen,192,2299100,1526900,772200,Health Care,Pharmaceuticals,2017,,,,,,,,
124,US Foods Holding,250,2291900,2270920,20980,Wholesalers,Wholesalers: Food and Grocery,2017,,,,,,,,
125,U.S. Bancorp,712,2274400,1685600,588800,Financials,Commercial Banks,2017,,,,,,,,
126,Aflac,102,2255900,1990000,265900,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
127,Sears Holdings,1400,2213800,2435900,-222100,Retailing,General Merchandisers,2017,,,,,,,,
128,Dollar General,1210,2198700,2073590,125110,Retailing,Specialty Retailers: Other,2017,,,,,,,,
129,AutoNation,260,2160900,2117850,43050,Retailing,"Automotive Retailing, Services",2017,,,,,,,,
130,Community Health Systems,1080,2137400,2309500,-172100,Health Care,Health Care: Medical Facilities,2017,,,,,,,,
131,Starbucks,2540,2131600,1849830,281770,"Hotels, Restaurants & Leisure",Food Services,2017,,,,,,,,
132,Eli Lilly,420,2122200,1848440,273760,Health Care,Pharmaceuticals,2017,,,,,,,,
133,International Paper,550,2107900,2017500,90400,Materials,"Packaging, Containers",2017,,,,,,,,
134,Tenet Healthcare,1165,2107000,2126200,-19200,Health Care,Health Care: Medical Facilities,2017,,,,,,,,
135,Abbott Laboratories,750,2085300,1945300,140000,Health Care,Medical Products and Equipment,2017,,,,,,,,
136,Dollar Tree,1161,2071900,1982280,89620,Retailing,Specialty Retailers: Other,2017,,,,,,,,
137,Whirlpool,930,2071800,1983000,88800,Industrials,"Electronics, Electrical Equipment",2017,,,,,,,,
138,Southwest Airlines,535,2042500,1818100,224400,Transportation,Airlines,2017,,,,,,,,
139,Emerson Electric,1035,2026800,1863300,163500,Industrials,"Electronics, Electrical Equipment",2017,,,,,,,,
140,Staples,615,2021700,2171400,-149700,Retailing,Specialty Retailers: Other,2017,,,,,,,,
141,Plains GP Holdings,51,2018200,2008800,9400,Energy,Pipelines,2017,,,,,,,,
142,Penske Automotive Group,240,2014300,1980010,34290,Retailing,"Automotive Retailing, Services",2017,,,,,,,,
143,Union Pacific,429,1994100,1570800,423300,Transportation,Railroads,2017,,,,,,,,
144,Danaher,620,1991200,1735830,255370,Technology,"Scientific, Photographic and Control Equipment",2017,,,,,,,,
145,Southern,320,1989600,1744800,244800,Energy,Utilities: Gas and Electric,2017,,,,,,,,
146,ManpowerGroup,280,1965400,1921030,44370,Business Services,Temporary Help,2017,,,,,,,,
147,Bristol-Myers Squibb,250,1942700,1497000,445700,Health Care,Pharmaceuticals,2017,,,,,,,,
148,Altria Group,83,1933700,509800,1423900,"Food, Beverages & Tobacco",Tobacco,2017,,,,,,,,
149,Fluor,616,1903700,1875560,28140,Engineering & Construction,"Engineering, Construction",2017,,,,,,,,
150,Kohl’s,850,1868600,1813000,55600,Retailing,General Merchandisers,2017,,,,,,,,
151,Lear,1484,1855800,1758290,97510,Motor Vehicles & Parts,Motor Vehicles and Parts,2017,,,,,,,,
152,Jabil Circuit,1380,1835300,1809890,25410,Technology,Semiconductors and Other Electronic Components,2017,,,,,,,,
153,Hartford Financial Services Group,169,1830000,1740400,89600,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
154,Thermo Fisher Scientific,548,1827400,1625220,202180,Technology,"Scientific, Photographic and Control Equipment",2017,,,,,,,,
155,Kimberly-Clark,420,1820200,1603600,216600,Household Products,Household and Personal Products,2017,,,,,,,,
156,Molina Healthcare,210,1778200,1773000,5200,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
157,PG&E Corp.,240,1766600,1627300,139300,Energy,Utilities: Gas and Electric,2017,,,,,,,,
158,Supervalu,380,1752900,1735100,17800,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
159,Cummins,554,1750900,1611500,139400,Industrials,Industrial Machinery,2017,,,,,,,,
160,CenturyLink,400,1747000,1684400,62600,Telecommunications,Telecommunications,2017,,,,,,,,
161,AECOM,870,1741100,1731490,9610,Engineering & Construction,"Engineering, Construction",2017,,,,,,,,
162,Xerox,1336,1712600,1760300,-47700,Technology,Computer Peripherals,2017,,,,,,,,
163,Marriott International,2265,1707200,1629200,78000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2017,,,,,,,,
164,Paccar,230,1703300,1651130,52170,Industrials,Construction and Farm Machinery,2017,,,,,,,,
165,General Mills,390,1656300,1486560,169740,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
166,PNC Financial Services Group,507,1642300,1252000,390300,Financials,Commercial Banks,2017,,,,,,,,
167,American Electric Power,176,1638000,1576910,61090,Energy,Utilities: Gas and Electric,2017,,,,,,,,
168,Icahn Enterprises,910,1634800,1747600,-112800,Financials,Diversified Financials,2017,,,,,,,,
169,Nucor,239,1620800,1541170,79630,Materials,Metals,2017,,,,,,,,
170,NextEra Energy,147,1615500,1324300,291200,Energy,Utilities: Gas and Electric,2017,,,,,,,,
171,Performance Food Group,130,1610500,1603670,6830,Wholesalers,Wholesalers: Food and Grocery,2017,,,,,,,,
172,PBF Energy,32,1592000,1574920,17080,Energy,Petroleum Refining,2017,,,,,,,,
173,Halliburton,500,1588700,2165000,-576300,Energy,"Oil and Gas Equipment, Services",2017,,,,,,,,
174,CarMax,224,1583300,1520960,62340,Retailing,"Automotive Retailing, Services",2017,,,,,,,,
175,Freeport-McMoRan,300,1578900,1994300,-415400,Energy,"Mining, Crude-Oil Production",2017,,,,,,,,
176,Whole Foods Market,735,1572400,1521700,50700,Food & Drug Stores,Food and Drug Stores,2017,,,,,,,,
177,Bank of New York Mellon,520,1568300,1213600,354700,Financials,Commercial Banks,2017,,,,,,,,
178,Gap,1350,1551600,1484000,67600,Retailing,Specialty Retailers: Apparel,2017,,,,,,,,
179,Omnicom Group,785,1541700,1426840,114860,Business Services,"Advertising, Marketing",2017,,,,,,,,
180,Genuine Parts,400,1534000,1465280,68720,Wholesalers,Wholesalers: Diversified,2017,,,,,,,,
181,DaVita,703,1519700,1431710,87990,Health Care,Health Care: Medical Facilities,2017,,,,,,,,
182,Colgate-Palmolive,367,1519500,1275400,244100,Household Products,Household and Personal Products,2017,,,,,,,,
183,PPG Industries,470,1517800,1430100,87700,Chemicals,Chemicals,2017,,,,,,,,
184,Goodyear Tire & Rubber,660,1515800,1389400,126400,Motor Vehicles & Parts,Motor Vehicles and Parts,2017,,,,,,,,
185,Synchrony Financial,150,1512200,1287100,225100,Financials,Diversified Financials,2017,,,,,,,,
186,DISH Network,160,1509500,1364510,144990,Telecommunications,Telecommunications,2017,,,,,,,,
187,Visa,142,1508200,909100,599100,Business Services,Financial Data Services,2017,,,,,,,,
188,Nordstrom,725,1475700,1440300,35400,Retailing,General Merchandisers,2017,,,,,,,,
189,INTL FCStone,15,1475500,1470030,5470,Financials,Diversified Financials,2017,,,,,,,,
190,WestRock,390,1470600,1510230,-39630,Materials,"Packaging, Containers",2017,,,,,,,,
191,XPO Logistics,870,1461900,1455000,6900,Transportation,Transportation and Logistics,2017,,,,,,,,
192,Aramark,2173,1441600,1412820,28780,Business Services,Diversified Outsourcing Services,2017,,,,,,,,
193,CBS,184,1438600,1312500,126100,Media,Entertainment,2017,,,,,,,,
194,AES,190,1428700,1541700,-113000,Energy,Utilities: Gas and Electric,2017,,,,,,,,
195,WellCare Health Plans,74,1423700,1399490,24210,Health Care,Health Care: Insurance and Managed Care,2017,,,,,,,,
196,FirstEnergy,157,1415600,2033300,-617700,Energy,Utilities: Gas and Electric,2017,,,,,,,,
197,Conagra Brands,209,1413400,1481100,-67700,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
198,Synnex,1100,1406200,1382710,23490,Wholesalers,Wholesalers: Electronics and Office Equipment,2017,,,,,,,,
199,CDW,85,1398200,1355760,42440,Technology,Information Technology Services,2017,,,,,,,,
200,Textron,360,1378800,1282600,96200,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
201,Waste Management,412,1360900,1242700,118200,Business Services,Waste Management,2017,,,,,,,,
202,Illinois Tool Works,500,1359900,1156400,203500,Industrials,Industrial Machinery,2017,,,,,,,,
203,Office Depot,380,1358500,1305600,52900,Retailing,Specialty Retailers: Other,2017,,,,,,,,
204,Monsanto,225,1350200,1216600,133600,Chemicals,Chemicals,2017,,,,,,,,
205,Cognizant Technology Solutions,2602,1348700,1193400,155300,Technology,Information Technology Services,2017,,,,,,,,
206,Texas Instruments,299,1337000,977500,359500,Technology,Semiconductors and Other Electronic Components,2017,,,,,,,,
207,Lincoln National,91,1333000,1213800,119200,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
208,Newell Brands,534,1326400,1273620,52780,Household Products,"Home Equipment, Furnishings",2017,,,,,,,,
209,Land O’Lakes,100,1323300,1298810,24490,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
210,Marsh & McLennan,600,1321100,1144300,176800,Financials,Diversified Financials,2017,,,,,,,,
211,Ecolab,476,1315300,1192340,122960,Chemicals,Chemicals,2017,,,,,,,,
212,C.H. Robinson Worldwide,141,1314400,1263060,51340,Transportation,Transportation and Logistics,2017,,,,,,,,
213,Loews,158,1310500,1245100,65400,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
214,CBRE Group,750,1307200,1250000,57200,Financials,Real Estate,2017,,,,,,,,
215,Kinder Morgan,111,1305800,1235000,70800,Energy,Pipelines,2017,,,,,,,,
216,Kellogg,374,1301400,1232000,69400,"Food, Beverages & Tobacco",Food Consumer Products,2017,,,,,,,,
217,Western Digital,729,1299400,1275200,24200,Technology,Computer Peripherals,2017,,,,,,,,
218,Guardian Life Ins. Co. of America,89,1291900,1265510,26390,Financials,"Insurance: Life, Health (Mutual)",2017,,,,,,,,
219,Ross Stores,786,1286700,1174930,111770,Retailing,Specialty Retailers: Apparel,2017,,,,,,,,
220,L Brands,591,1257400,1141590,115810,Retailing,Specialty Retailers: Apparel,2017,,,,,,,,
221,J.C. Penney,1060,1254700,1254600,100,Retailing,General Merchandisers,2017,,,,,,,,
222,Farmers Insurance Exchange,133,1251300,1266090,-14790,Financials,Insurance: Property and Casualty (Mutual),2017,,,,,,,,
223,Reynolds American,55,1250300,643000,607300,"Food, Beverages & Tobacco",Tobacco,2017,,,,,,,,
224,Viacom,97,1248800,1105000,143800,Media,Entertainment,2017,,,,,,,,
225,Becton Dickinson,509,1248300,1150700,97600,Health Care,Medical Products and Equipment,2017,,,,,,,,
226,Micron Technology,314,1239900,1267500,-27600,Technology,Semiconductors and Other Electronic Components,2017,,,,,,,,
227,Principal Financial,149,1239400,1107750,131650,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
228,Arconic,415,1239400,1333500,-94100,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
229,NRG Energy,88,1235100,1312500,-77400,Energy,Energy,2017,,,,,,,,
230,VF,690,1220700,1113290,107410,Apparel,Apparel,2017,,,,,,,,
231,Devon Energy,35,1219700,1549900,-330200,Energy,"Mining, Crude-Oil Production",2017,,,,,,,,
232,D.R. Horton,70,1215700,1127070,88630,Engineering & Construction,Homebuilders,2017,,,,,,,,
233,Bed Bath & Beyond,620,1210400,1126250,84150,Retailing,Specialty Retailers: Other,2017,,,,,,,,
234,Consolidated Edison,150,1207500,1083000,124500,Energy,Utilities: Gas and Electric,2017,,,,,,,,
235,Edison International,124,1186900,1055800,131100,Energy,Utilities: Gas and Electric,2017,,,,,,,,
236,Sherwin-Williams,426,1185600,1072330,113270,Chemicals,Chemicals,2017,,,,,,,,
237,NGL Energy Partners,32,1174200,1194090,-19890,Energy,Energy,2017,,,,,,,,
238,Dominion Energy,162,1173700,961400,212300,Energy,Utilities: Gas and Electric,2017,,,,,,,,
239,Ameriprise Financial,132,1173500,1042100,131400,Financials,Diversified Financials,2017,,,,,,,,
240,ADP,570,1166800,1017550,149250,Business Services,Diversified Outsourcing Services,2017,,,,,,,,
241,Hilton Worldwide Holdings,1690,1166300,1131500,34800,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2017,,,,,,,,
242,First Data,240,1158400,1116400,42000,Business Services,Financial Data Services,2017,,,,,,,,
243,Henry Schein,210,1157200,1106520,50680,Wholesalers,Wholesalers: Health Care,2017,,,,,,,,
244,Toys “R” Us,640,1154000,1157600,-3600,Retailing,Specialty Retailers: Other,2017,,,,,,,,
245,BB&T Corp.,375,1153800,911200,242600,Financials,Commercial Banks,2017,,,,,,,,
246,Reinsurance Group of America,24,1152200,1082060,70140,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
247,Core-Mark Holding,77,1150700,1145280,5420,Wholesalers,Wholesalers: Food and Grocery,2017,,,,,,,,
248,Biogen,74,1144900,774620,370280,Health Care,Pharmaceuticals,2017,,,,,,,,
249,Las Vegas Sands,490,1141000,974000,167000,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",2017,,,,,,,,
250,Stanley Black & Decker,540,1140700,1044170,96530,Household Products,"Home Equipment, Furnishings",2017,,,,,,,,
251,Parker-Hannifin,490,1136100,1055420,80680,Industrials,Industrial Machinery,2017,,,,,,,,
252,Stryker,330,1132500,967800,164700,Health Care,Medical Products and Equipment,2017,,,,,,,,
253,Estee Lauder,460,1126200,1014740,111460,Household Products,Household and Personal Products,2017,,,,,,,,
254,Celgene,71,1122900,922980,199920,Health Care,Pharmaceuticals,2017,,,,,,,,
255,BlackRock,130,1115500,798300,317200,Financials,Securities,2017,,,,,,,,
256,Xcel Energy,115,1110700,998360,112340,Energy,Utilities: Gas and Electric,2017,,,,,,,,
257,CSX,266,1106900,935500,171400,Transportation,Railroads,2017,,,,,,,,
258,Unum Group,94,1104700,1011560,93140,Financials,"Insurance: Life, Health (Stock)",2017,,,,,,,,
259,Jacobs Engineering Group,494,1096400,1075350,21050,Engineering & Construction,"Engineering, Construction",2017,,,,,,,,
260,Lennar,83,1095000,1003820,91180,Engineering & Construction,Homebuilders,2017,,,,,,,,
261,Group 1 Automotive,135,1088800,1074090,14710,Retailing,"Automotive Retailing, Services",2017,,,,,,,,
262,Leucadia National,130,1087500,1074500,13000,Financials,Diversified Financials,2017,,,,,,,,
263,Entergy,135,1084600,1142960,-58360,Energy,Utilities: Gas and Electric,2017,,,,,,,,
264,PayPal Holdings,181,1084200,944100,140100,Business Services,Financial Data Services,2017,,,,,,,,
265,Applied Materials,162,1082500,910400,172100,Technology,Semiconductors and Other Electronic Components,2017,,,,,,,,
266,Voya Financial,67,1078200,1121000,-42800,Financials,Diversified Financials,2017,,,,,,,,
267,Mastercard,119,1077600,671700,405900,Business Services,Financial Data Services,2017,,,,,,,,
268,Priceline Group,185,1074300,860800,213500,Technology,Internet Services and Retailing,2017,,,,,,,,
269,Liberty Interactive,211,1064700,941200,123500,Retailing,Internet Services and Retailing,2017,,,,,,,,
270,AutoZone,668,1063600,939500,124100,Retailing,Specialty Retailers: Other,2017,,,,,,,,
271,State Street Corp.,338,1063500,849200,214300,Financials,Commercial Banks,2017,,,,,,,,
272,DTE Energy,100,1063000,976200,86800,Energy,Utilities: Gas and Electric,2017,,,,,,,,
273,L3 Technologies,380,1059700,988700,71000,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
274,HollyFrontier,27,1053600,1079650,-26050,Energy,Petroleum Refining,2017,,,,,,,,
